id,price
100000,5138395.94
100001,5138395.94
100002,5138395.94
100003,5138395.94
100004,5138395.94
100005,5138395.94
100006,5138395.94
100007,5138395.94
100008,5138395.94
100009,5138395.94
100010,5138395.94
100011,5138395.94
100012,5138395.94
100013,5138395.94
100014,5138395.94
100015,5138395.94
100016,5138395.94
100017,5138395.94
100018,5138395.94
100019,5138395.94
100020,5138395.94
100021,5138395.94
100022,5138395.94
100023,5138395.94
100024,5138395.94
100025,5138395.94
100026,5138395.94
100027,5138395.94
100028,5138395.94
100029,5138395.94
100030,5138395.94
100031,5138395.94
100032,5138395.94
100033,5138395.94
100034,5138395.94
100035,5138395.94
100036,5138395.94
100037,5138395.94
100038,5138395.94
100039,5138395.94
100040,5138395.94
100041,5138395.94
100042,5138395.94
100043,5138395.94
100044,5138395.94
100045,5138395.94
100046,5138395.94
100047,5138395.94
100048,5138395.94
100049,5138395.94
100050,5138395.94
100051,5138395.94
100052,5138395.94
100053,5138395.94
100054,5138395.94
100055,5138395.94
100056,5138395.94
100057,5138395.94
100058,5138395.94
100059,5138395.94
100060,5138395.94
100061,5138395.94
100062,5138395.94
100063,5138395.94
100064,5138395.94
100065,5138395.94
100066,5138395.94
100067,5138395.94
100068,5138395.94
100069,5138395.94
100070,5138395.94
100071,5138395.94
100072,5138395.94
100073,5138395.94
100074,5138395.94
100075,5138395.94
100076,5138395.94
100077,5138395.94
100078,5138395.94
100079,5138395.94
100080,5138395.94
100081,5138395.94
100082,5138395.94
100083,5138395.94
100084,5138395.94
100085,5138395.94
100086,5138395.94
100087,5138395.94
100088,5138395.94
100089,5138395.94
100090,5138395.94
100091,5138395.94
100092,5138395.94
100093,5138395.94
100094,5138395.94
100095,5138395.94
100096,5138395.94
100097,5138395.94
100098,5138395.94
100099,5138395.94
100100,5138395.94
100101,5138395.94
100102,5138395.94
100103,5138395.94
100104,5138395.94
100105,5138395.94
100106,5138395.94
100107,5138395.94
100108,5138395.94
100109,5138395.94
100110,5138395.94
100111,5138395.94
100112,5138395.94
100113,5138395.94
100114,5138395.94
100115,5138395.94
100116,5138395.94
100117,5138395.94
100118,5138395.94
100119,5138395.94
100120,5138395.94
100121,5138395.94
100122,5138395.94
100123,5138395.94
100124,5138395.94
100125,5138395.94
100126,5138395.94
100127,5138395.94
100128,5138395.94
100129,5138395.94
100130,5138395.94
100131,5138395.94
100132,5138395.94
100133,5138395.94
100134,5138395.94
100135,5138395.94
100136,5138395.94
100137,5138395.94
100138,5138395.94
100139,5138395.94
100140,5138395.94
100141,5138395.94
100142,5138395.94
100143,5138395.94
100144,5138395.94
100145,5138395.94
100146,5138395.94
100147,5138395.94
100148,5138395.94
100149,5138395.94
100150,5138395.94
100151,5138395.94
100152,5138395.94
100153,5138395.94
100154,5138395.94
100155,5138395.94
100156,5138395.94
100157,5138395.94
100158,5138395.94
100159,5138395.94
100160,5138395.94
100161,5138395.94
100162,5138395.94
100163,5138395.94
100164,5138395.94
100165,5138395.94
100166,5138395.94
100167,5138395.94
100168,5138395.94
100169,5138395.94
100170,5138395.94
100171,5138395.94
100172,5138395.94
100173,5138395.94
100174,5138395.94
100175,5138395.94
100176,5138395.94
100177,5138395.94
